# TimeStep	Observable
236	0.013996
237	0.007470
238	0.006881
239	0.006618
240	0.007152
241	0.011045
242	-0.003019
243	-0.013539
244	0.000551
245	0.015334
246	-0.011130
247	-0.010731
248	-0.029335
249	0.030062
250	0.001976
251	0.005407
252	-0.017712
253	0.005571
254	0.013616
255	0.018045
256	0.003070
257	0.005287
258	-0.034911
259	0.001934
260	0.019868
261	-0.019489
262	0.007094
263	-0.007557
264	0.003810
265	-0.004005
266	0.016473
267	0.012220
268	-0.013224
269	-0.023352
270	-0.012168
271	0.008205
272	-0.011120
273	0.006015
274	-0.003239
275	0.002384
276	0.003767
277	0.008516
278	-0.003770
279	0.017768
280	-0.003687
281	0.037417
282	-0.017779
283	0.013182
284	0.024240
285	-0.009637
286	0.026830
287	0.011829
288	-0.003871
289	0.007943
290	0.034020
291	-0.014603
292	0.003528
293	-0.000860
294	0.001572
295	-0.004692
296	0.004120
297	0.015981
298	0.000241
299	0.009035
300	0.004980
301	-0.003657
302	0.007631
303	-0.015096
304	0.001816
305	0.002023
306	-0.008967
307	0.016764
308	-0.015584
309	0.003993
310	-0.017168
311	-0.009870
312	0.034402
313	0.003240
314	-0.021323
315	0.002363
316	-0.004897
317	0.021988
318	-0.002209
319	0.011706
320	-0.017192
321	0.001219
322	0.000048
323	-0.009274
324	0.020759
325	0.036673
326	-0.006143
327	-0.021639
328	0.026126
329	-0.012794
330	-0.003489
331	0.006008
332	0.008955
333	0.001807
334	-0.001236
335	-0.002464
336	-0.018782
337	0.017939
338	-0.003584
339	0.017964
340	-0.029420
341	-0.016011
342	0.006796
343	0.001651
344	-0.010256
345	0.027445
346	-0.007155
347	-0.011320
348	-0.012649
349	0.005066
350	-0.013141
351	-0.015580
352	-0.014367
353	-0.000919
354	0.020550
355	0.003180
356	0.003257
357	0.009245
358	-0.001668
359	0.002306
360	0.022924
361	-0.026470
362	-0.015565
363	0.007697
364	0.013584
365	-0.001955
366	-0.013983
367	0.005740
368	0.032028
369	0.004130
370	0.011070
371	0.008648
372	-0.007698
373	0.006359
374	-0.011887
375	0.017002
376	0.005548
377	-0.005823
378	-0.001257
379	0.008683
380	-0.020754
381	0.003973
382	0.007552
383	-0.014519
384	-0.006988
385	-0.003314
386	0.003508
387	-0.022572
388	-0.001152
389	-0.010717
390	-0.016324
391	-0.024209
392	-0.020773
393	-0.028362
394	0.013601
395	0.012257
396	-0.019520
397	-0.002618
398	-0.005343
399	0.011587
400	0.004509
401	0.003335
402	-0.007464
403	0.003761
404	0.015756
405	-0.003611
406	-0.009527
407	0.023540
408	-0.001606
409	-0.002712
410	-0.005816
411	-0.003043
412	-0.002001
413	-0.011872
414	-0.000916
415	-0.005260
416	0.006345
417	0.001071
418	0.012428
419	0.006812
420	-0.004271
421	0.013254
422	-0.009558
423	0.030293
424	0.000271
425	-0.007534
426	0.022961
427	0.009950
428	0.010919
429	-0.003153
430	0.000247
431	-0.005932
432	0.014427
433	-0.012192
434	-0.009020
435	-0.007892
436	0.009604
437	-0.033961
438	0.020104
439	0.008362
440	-0.004241
441	0.035567
442	-0.003876
443	0.003992
444	0.006301
445	-0.015964
446	0.022425
447	-0.003232
448	0.005655
449	-0.043625
450	-0.008514
451	0.011722
452	0.011033
453	-0.009577
454	-0.001775
455	-0.006654
456	0.024170
457	-0.017206
458	0.002733
459	0.003157
460	0.025316
461	-0.031103
462	-0.007607
463	0.007179
464	0.007968
465	0.020240
466	0.012513
467	0.013557
468	0.010720
