# TimeStep	Observable
394	0.003865
395	-0.023819
396	-0.004211
397	-0.012683
398	0.007299
399	0.004384
400	-0.005326
401	-0.006565
402	-0.001586
403	-0.003374
404	-0.013165
405	-0.010986
406	-0.005187
407	-0.004936
408	-0.008934
409	0.017292
410	0.026480
411	0.021768
412	0.009121
413	-0.008539
414	0.004400
415	0.013725
416	0.017560
417	0.007726
418	-0.001358
419	-0.018875
420	-0.004154
421	-0.003795
422	0.003563
423	0.000032
424	-0.020800
425	-0.015346
426	-0.006126
427	0.011511
428	0.004256
429	-0.014272
430	-0.003444
431	0.019092
432	0.001196
433	0.017901
434	-0.012814
435	0.000885
436	-0.002401
437	-0.014781
438	0.021477
439	-0.007312
440	-0.016599
441	-0.005820
442	0.015176
443	0.003864
444	-0.004238
445	-0.002370
446	-0.009156
447	0.000667
448	0.001876
449	-0.019985
450	0.003456
451	-0.041783
452	-0.014408
453	-0.017841
454	0.018894
455	0.011785
456	-0.005941
457	-0.020175
458	0.000048
459	-0.006174
460	0.016712
461	0.018724
462	0.011479
463	0.017818
464	0.010300
465	-0.014084
466	0.007127
467	0.029686
468	0.011896
469	0.013248
470	0.013694
471	0.013470
472	0.025175
473	-0.014030
474	-0.001812
475	-0.057134
476	-0.006698
477	0.001580
478	-0.007202
479	0.020734
480	-0.014223
481	-0.012806
482	0.033656
483	-0.005435
484	-0.004349
485	0.005225
486	0.003240
487	-0.012343
488	0.009046
489	-0.005690
490	0.019527
491	0.010716
492	-0.015093
493	0.008186
494	0.029689
495	-0.003980
496	-0.009335
497	-0.004797
498	0.027364
499	0.018008
500	0.004302
501	0.006933
502	-0.018640
503	0.007547
504	-0.005860
505	0.016615
506	-0.004810
507	0.015640
508	-0.002244
509	0.009493
510	0.009223
511	0.011356
512	-0.001358
513	-0.017504
514	0.004800
515	0.000939
516	-0.012396
517	0.044549
518	0.014151
519	0.011450
520	0.009764
521	-0.004892
522	0.020538
523	-0.007369
524	-0.007120
525	0.004332
526	0.008395
527	-0.021791
528	-0.011595
529	0.006469
530	-0.001560
531	-0.011133
532	0.004654
533	-0.019362
534	0.011253
535	0.019539
536	0.008416
537	-0.000414
538	0.016615
539	-0.012600
540	-0.024528
541	-0.019190
542	-0.010749
543	-0.019447
544	-0.016204
545	-0.009567
546	-0.010143
547	-0.001786
548	0.001454
549	-0.010176
550	0.008359
551	0.019457
552	0.007632
553	0.016264
554	0.018575
555	-0.004814
556	-0.005545
557	-0.006750
558	0.014364
559	0.023506
560	-0.000285
561	-0.018663
562	0.004338
563	0.022488
564	-0.016353
565	-0.045050
566	-0.008459
567	0.015031
568	-0.026574
569	-0.020443
570	0.036383
571	-0.002538
572	-0.005234
573	-0.013572
574	0.010893
575	0.002150
576	0.033808
577	0.025966
578	-0.009695
579	-0.020177
580	0.010762
581	-0.010507
582	-0.036805
583	-0.002364
584	-0.010298
585	-0.013872
586	0.012592
587	-0.015229
588	0.000551
589	0.019979
590	-0.001209
591	-0.017101
592	0.006402
593	-0.009378
594	-0.004356
595	-0.003038
596	0.004421
597	-0.017720
598	0.011821
599	0.010587
600	0.006223
601	0.002651
602	-0.003354
603	-0.021556
604	0.018590
605	0.010281
606	0.017709
607	0.013885
608	-0.008011
609	-0.004629
610	-0.007572
611	-0.004416
612	-0.003464
613	-0.028429
614	-0.005819
615	0.004220
616	0.009390
617	-0.005937
618	0.018333
619	-0.013871
620	0.005879
621	0.003725
622	0.004987
623	0.017764
624	-0.020004
625	0.008145
626	0.007841
627	0.001864
628	0.018122
629	-0.012752
630	0.016679
631	-0.013912
632	0.012302
633	-0.001886
634	0.011833
635	-0.001642
636	-0.029876
637	-0.007248
638	0.005176
639	-0.012939
640	-0.020228
641	-0.011898
642	0.021152
643	0.009409
644	0.003582
645	0.025803
646	-0.000355
647	0.030744
648	0.005320
649	-0.004597
650	0.030608
651	-0.023248
652	-0.005789
653	-0.011344
654	-0.002211
655	0.018545
656	-0.005418
657	0.004008
658	0.012720
659	0.010270
660	0.016897
661	0.030490
662	-0.007971
663	0.006963
664	-0.009199
665	0.012169
666	0.009277
667	0.024682
668	-0.008197
669	-0.004154
670	0.017494
671	-0.004445
672	-0.027666
673	-0.022409
674	0.016705
675	0.001553
676	0.007875
677	-0.012641
678	-0.001538
679	0.013273
680	-0.016901
681	0.010783
682	0.029576
683	-0.011189
684	-0.022214
685	-0.009899
686	0.007621
687	0.025657
